Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
URP 357,77%,94%,29%,4%,18%,23%,23%,12%,6%,5%,2%,2%,1%,1%,1%,<1%
URP 423,90%,93%,8%,1%,43%,21%,15%,11%,4%,2%,2%,<1%,<1%,<1%,<1%,<1%
URP 427,93%,84%,22%,4%,41%,18%,11%,11%,11%,<1%,4%,<1%,<1%,<1%,<1%,<1%
URP 500,74%,100%,48%,8%,32%,26%,16%,16%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 504,44%,88%,18%,17%,26%,22%,13%,14%,4%,4%,<1%,<1%,<1%,<1%,<1%,<1%
URP 508,80%,85%,55%,2%,72%,15%,8%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 509,48%,93%,2%,4%,25%,32%,25%,9%,6%,<1%,<1%,1%,<1%,<1%,<1%,<1%
URP 510,45%,100%,2%,9%,36%,26%,18%,10%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 520,92%,95%,33%,4%,57%,26%,7%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 522,64%,100%,33%,<1%,73%,14%,7%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 524,100%,,,,,,,,,,,,,,,
URP 527,93%,84%,22%,5%,42%,21%,5%,21%,<1%,5%,<1%,<1%,<1%,<1%,<1%,<1%
URP 529,99%,95%,15%,<1%,57%,19%,19%,3%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
URP 535,,,,12%,76%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 544,84%,96%,15%,23%,40%,20%,5%,6%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
URP 551,88%,64%,27%,2%,35%,37%,25%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 552,100%,100%,22%,52%,36%,4%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 560,,,,<1%,27%,14%,41%,14%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 571,93%,100%,,<1%,53%,18%,18%,10%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
URP 572,,,,,,,,,,,,,,,,
URP 581,100%,95%,37%,4%,56%,36%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
