Class Name, Desire to Take, Understanding, Workload, A+, A, A-, B+, B, B-, C+, C, C-, D+, D, D-, E 
LAW 931,83%,100%,50%,<1%,41%,56%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 933,,,,<1%,58%,30%,9%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 934,,,,<1%,56%,33%,7%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 940,,,,,,,,,,,,,,,,
LAW 941,,,,3%,53%,35%,7%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 944,,,,,,,,,,,,,,,,
LAW 945,,,,,,,,,,,,,,,,
LAW 951,95%,100%,9%,3%,53%,34%,9%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 952,99%,100%,56%,<1%,37%,58%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 953,100%,100%,44%,<1%,33%,59%,9%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 954,,,,<1%,57%,37%,5%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 955,87%,80%,60%,2%,27%,59%,10%,1%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
LAW 956,84%,88%,55%,1%,16%,76%,7%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 958,91%,100%,44%,4%,51%,35%,8%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 959,,,,1%,48%,38%,11%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 960,,,,3%,94%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 961,,,,3%,94%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 970,,,,,,,,,,,,,,,,
LAW 972,100%,100%,64%,5%,69%,25%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 973,97%,100%,53%,4%,85%,11%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 976,100%,100%,27%,<1%,39%,61%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 977,100%,100%,29%,1%,39%,59%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 978,100%,96%,39%,<1%,43%,47%,10%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 979,,,,<1%,45%,45%,8%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 981,,,,,,,,,,,,,,,,
LAW 983,,,,,,,,,,,,,,,,
LAW 990,,,,,,,,,,,,,,,,
LAW 991,,,,<1%,30%,68%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 993,100%,95%,28%,<1%,37%,56%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 994,98%,97%,21%,<1%,42%,50%,7%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
LAW 995,100%,100%,,,,,,,,,,,,,,
LAW 997,100%,100%,,,,,,,,,,,,,,
LAW 998,50%,100%,,,,,,,,,,,,,,
AAS 103,74%,90%,36%,8%,35%,18%,12%,12%,6%,1%,6%,<1%,<1%,1%,<1%,<1%
AAS 104,67%,88%,13%,4%,28%,27%,16%,12%,5%,4%,1%,1%,<1%,<1%,<1%,<1%
AAS 111,54%,89%,22%,8%,34%,21%,16%,10%,5%,2%,2%,1%,<1%,<1%,<1%,1%
AAS 115,89%,100%,16%,<1%,32%,24%,6%,12%,7%,5%,6%,2%,2%,1%,<1%,1%
AAS 125,,,,,,,,,,,,,,,,
AAS 200,56%,90%,9%,13%,30%,19%,21%,6%,4%,3%,2%,<1%,<1%,1%,1%,1%
AAS 202,64%,91%,14%,<1%,45%,42%,8%,4%,1%,<1%,<1%,1%,<1%,<1%,<1%,<1%
AAS 211,46%,,,<1%,54%,4%,21%,17%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%
AAS 215,96%,67%,12%,<1%,26%,36%,13%,9%,7%,4%,2%,2%,<1%,<1%,<1%,2%
AAS 230,75%,100%,17%,<1%,35%,30%,19%,11%,<1%,<1%,<1%,<1%,3%,<1%,<1%,3%
AAS 246,68%,95%,21%,3%,22%,32%,20%,12%,5%,2%,1%,1%,1%,<1%,<1%,1%
AAS 254,89%,86%,3%,35%,42%,11%,5%,5%,1%,1%,1%,<1%,<1%,<1%,<1%,<1%
AAS 271,70%,100%,26%,8%,45%,18%,11%,5%,1%,4%,2%,<1%,1%,2%,<1%,3%
AAS 290,90%,85%,8%,<1%,32%,36%,16%,8%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%
AAS 304,65%,,58%,<1%,6%,31%,32%,29%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%
AAS 309,,,,,,,,,,,,,,,,
AAS 315,100%,100%,86%,,,,,,,,,,,,,
AAS 322,64%,94%,22%,8%,33%,17%,15%,17%,6%,2%,1%,<1%,<1%,<1%,<1%,<1%
AAS 331,90%,81%,17%,<1%,22%,7%,8%,23%,4%,4%,20%,4%,<1%,5%,<1%,<1%
AAS 338,,,,<1%,18%,15%,15%,18%,12%,6%,12%,6%,<1%,<1%,<1%,<1%
AAS 354,54%,94%,11%,1%,44%,25%,20%,4%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%
AAS 356,77%,97%,35%,1%,13%,23%,20%,14%,12%,6%,4%,2%,2%,1%,2%,<1%
AAS 358,81%,89%,24%,6%,33%,18%,12%,13%,5%,4%,4%,2%,<1%,<1%,<1%,2%
AAS 365,84%,,24%,<1%,16%,29%,31%,14%,5%,3%,1%,<1%,1%,1%,<1%,<1%
AAS 408,,,,<1%,21%,21%,24%,24%,7%,<1%,3%,<1%,<1%,<1%,<1%,<1%
AAS 443,97%,100%,14%,<1%,26%,37%,28%,6%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
AAS 444,55%,85%,,<1%,28%,8%,21%,40%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AAS 450,,,,<1%,27%,14%,9%,12%,22%,6%,10%,<1%,<1%,<1%,<1%,<1%
AAS 453,77%,100%,11%,<1%,15%,23%,38%,23%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AAS 480,,,,,,,,,,,,,,,,
AAS 495,70%,97%,34%,4%,40%,17%,19%,9%,2%,2%,2%,2%,<1%,<1%,<1%,1%
AAS 515,,,,<1%,75%,25%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AAS 517,,,,,,,,,,,,,,,,
AAS 525,100%,,75%,33%,<1%,<1%,67%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AAS 535,100%,,15%,,,,,,,,,,,,,
AAS 558,85%,100%,21%,4%,73%,19%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AAS 600,100%,89%,17%,<1%,68%,28%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 100,47%,89%,16%,16%,32%,22%,13%,8%,3%,2%,1%,1%,<1%,<1%,<1%,<1%
AMCULT 102,90%,90%,18%,<1%,69%,23%,3%,<1%,3%,<1%,<1%,3%,<1%,<1%,<1%,<1%
AMCULT 103,76%,96%,17%,6%,46%,29%,9%,5%,2%,1%,1%,<1%,<1%,<1%,<1%,1%
AMCULT 204,75%,94%,10%,11%,44%,23%,8%,6%,2%,2%,2%,1%,<1%,<1%,<1%,1%
AMCULT 205,87%,96%,11%,23%,34%,31%,6%,2%,2%,1%,<1%,<1%,<1%,1%,<1%,<1%
AMCULT 213,74%,97%,34%,4%,42%,23%,18%,7%,2%,2%,2%,1%,<1%,<1%,<1%,<1%
AMCULT 214,57%,100%,19%,1%,59%,26%,8%,4%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
AMCULT 215,84%,98%,7%,9%,78%,7%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 217,84%,97%,14%,1%,32%,14%,15%,16%,7%,3%,4%,4%,<1%,1%,<1%,3%
AMCULT 222,90%,92%,10%,10%,47%,14%,14%,4%,<1%,<1%,4%,2%,2%,<1%,<1%,2%
AMCULT 232,73%,100%,30%,1%,32%,23%,20%,9%,8%,4%,2%,<1%,<1%,<1%,<1%,1%
AMCULT 240,68%,92%,18%,13%,53%,19%,6%,4%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%
AMCULT 270,66%,99%,21%,2%,24%,32%,14%,15%,8%,1%,2%,<1%,<1%,<1%,<1%,<1%
AMCULT 284,84%,93%,45%,1%,26%,21%,25%,15%,7%,4%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 293,,,,9%,65%,17%,<1%,4%,<1%,<1%,<1%,<1%,<1%,4%,<1%,<1%
AMCULT 300,58%,94%,17%,1%,56%,27%,6%,3%,5%,<1%,<1%,<1%,<1%,<1%,<1%,1%
AMCULT 301,80%,97%,18%,5%,45%,28%,11%,3%,4%,1%,1%,1%,<1%,<1%,<1%,<1%
AMCULT 310,67%,86%,7%,15%,46%,25%,7%,3%,<1%,3%,<1%,1%,<1%,<1%,<1%,<1%
AMCULT 311,77%,90%,21%,4%,63%,18%,7%,4%,1%,2%,<1%,<1%,1%,<1%,<1%,<1%
AMCULT 313,89%,100%,43%,<1%,55%,28%,7%,7%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 314,,,,8%,29%,42%,10%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 316,78%,97%,22%,8%,61%,8%,7%,10%,2%,2%,2%,<1%,<1%,<1%,<1%,<1%
AMCULT 321,86%,66%,36%,41%,30%,11%,6%,4%,4%,1%,2%,1%,<1%,<1%,<1%,1%
AMCULT 322,100%,100%,,,,,,,,,,,,,,
AMCULT 333,,,,4%,29%,16%,20%,6%,6%,7%,6%,4%,<1%,4%,<1%,<1%
AMCULT 335,69%,97%,14%,2%,49%,26%,8%,4%,4%,2%,1%,1%,1%,<1%,1%,1%
AMCULT 342,76%,,,2%,23%,21%,26%,14%,2%,2%,5%,2%,2%,<1%,<1%,<1%
AMCULT 345,84%,100%,10%,<1%,74%,17%,5%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 358,69%,93%,8%,<1%,41%,35%,11%,10%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 360,,,,,,,,,,,,,,,,
AMCULT 366,,,,<1%,61%,22%,6%,8%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 367,83%,92%,46%,1%,46%,19%,13%,11%,3%,3%,1%,<1%,<1%,1%,<1%,2%
AMCULT 374,83%,97%,36%,1%,24%,35%,18%,11%,4%,2%,1%,1%,<1%,<1%,<1%,1%
AMCULT 387,77%,92%,33%,<1%,54%,23%,11%,9%,2%,<1%,<1%,2%,<1%,<1%,<1%,<1%
AMCULT 404,,,,24%,18%,12%,12%,29%,<1%,<1%,6%,<1%,<1%,<1%,<1%,<1%
AMCULT 405,84%,95%,24%,9%,37%,28%,12%,6%,3%,3%,1%,<1%,<1%,<1%,<1%,<1%
AMCULT 411,,,,9%,42%,26%,16%,4%,<1%,<1%,2%,<1%,<1%,<1%,2%,<1%
AMCULT 420,89%,100%,31%,9%,56%,25%,7%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 425,,,,6%,79%,10%,<1%,2%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 498,83%,95%,16%,2%,48%,26%,13%,6%,3%,<1%,<1%,1%,<1%,<1%,<1%,<1%
AMCULT 601,94%,92%,42%,8%,90%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 697,86%,60%,23%,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
AMCULT 828,,,,,,,,,,,,,,,,
ANTHRARC 180,67%,,,5%,67%,14%,5%,7%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRARC 282,66%,90%,3%,14%,29%,16%,13%,10%,6%,3%,3%,1%,1%,1%,<1%,3%
ANTHRARC 285,73%,94%,4%,2%,38%,22%,10%,15%,5%,3%,1%,1%,<1%,1%,<1%,1%
ANTHRARC 287,,,,<1%,14%,8%,19%,33%,11%,<1%,6%,3%,3%,<1%,3%,<1%
ANTHRARC 482,82%,100%,,35%,50%,9%,3%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRARC 486,,,,,,,,,,,,,,,,
ANTHRARC 581,73%,86%,14%,8%,78%,14%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRARC 593,92%,100%,67%,,,,,,,,,,,,,
ANTHRARC 683,71%,94%,3%,1%,98%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRARC 750,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRBIO 167,58%,84%,8%,21%,46%,19%,7%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRBIO 201,55%,90%,8%,4%,28%,20%,15%,15%,7%,5%,4%,2%,<1%,<1%,<1%,<1%
ANTHRBIO 365,75%,93%,14%,9%,20%,19%,15%,15%,9%,4%,4%,<1%,<1%,1%,<1%,2%
ANTHRBIO 368,66%,90%,20%,7%,29%,14%,14%,15%,6%,4%,6%,3%,<1%,<1%,<1%,1%
ANTHRBIO 371,100%,100%,43%,,,,,,,,,,,,,
ANTHRBIO 463,96%,92%,56%,21%,21%,29%,9%,12%,3%,<1%,3%,<1%,<1%,<1%,<1%,3%
ANTHRBIO 465,88%,100%,33%,3%,25%,34%,14%,10%,7%,3%,3%,<1%,<1%,<1%,<1%,<1%
ANTHRBIO 469,91%,85%,7%,16%,55%,13%,6%,4%,3%,1%,2%,<1%,<1%,<1%,<1%,<1%
ANTHRBIO 561,,,,,,,,,,,,,,,,
ANTHRBIO 571,,,,,,,,,,,,,,,,
ANTHRBIO 665,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRBIO 750,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 101,52%,85%,4%,8%,38%,21%,13%,11%,4%,2%,2%,1%,<1%,<1%,<1%,<1%
ANTHRCUL 158,69%,89%,,4%,57%,25%,11%,2%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 222,62%,84%,19%,2%,31%,28%,19%,13%,4%,<1%,2%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 235,,,,,,,,,,,,,,,,
ANTHRCUL 254,70%,79%,6%,2%,31%,36%,20%,7%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 314,89%,100%,43%,<1%,55%,28%,7%,7%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 315,78%,97%,22%,8%,61%,8%,7%,10%,2%,2%,2%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 319,65%,87%,6%,<1%,46%,19%,14%,8%,8%,2%,1%,1%,<1%,1%,1%,<1%
ANTHRCUL 325,80%,89%,15%,10%,29%,27%,12%,10%,4%,3%,1%,1%,<1%,<1%,1%,1%
ANTHRCUL 327,75%,89%,74%,1%,22%,35%,21%,13%,4%,2%,2%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 330,44%,85%,14%,1%,14%,29%,31%,12%,5%,3%,1%,1%,<1%,<1%,<1%,1%
ANTHRCUL 333,64%,72%,,<1%,39%,22%,16%,22%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 346,66%,92%,14%,<1%,19%,35%,20%,16%,6%,1%,1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 349,,,,6%,35%,35%,16%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,2%
ANTHRCUL 356,83%,93%,21%,16%,44%,18%,12%,6%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 374,66%,93%,10%,3%,29%,28%,16%,15%,4%,2%,1%,<1%,1%,<1%,<1%,1%
ANTHRCUL 409,,,,17%,45%,24%,4%,2%,<1%,4%,<1%,<1%,<1%,<1%,<1%,4%
ANTHRCUL 414,55%,85%,,<1%,28%,8%,21%,40%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 428,86%,100%,43%,12%,75%,11%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 430,100%,100%,60%,,,,,,,,,,,,,
ANTHRCUL 458,90%,94%,28%,16%,52%,18%,7%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%,1%
ANTHRCUL 474,,,,,,,,,,,,,,,,
ANTHRCUL 497,,,,16%,80%,2%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 519,100%,100%,54%,4%,25%,42%,17%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 526,60%,82%,62%,<1%,63%,30%,6%,<1%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 546,100%,100%,,<1%,40%,60%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 558,86%,100%,24%,31%,59%,5%,2%,1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 576,30%,80%,47%,4%,24%,47%,13%,10%,<1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 645,,,,,,,,,,,,,,,,
ANTHRCUL 652,100%,97%,30%,<1%,79%,20%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 675,100%,100%,20%,,,,,,,,,,,,,
ANTHRCUL 748,100%,100%,,<1%,96%,<1%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 750,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 759,,,,,,,,,,,,,,,,
ANTHRCUL 777,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 797,90%,100%,11%,<1%,92%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 830,,,,<1%,100%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ANTHRCUL 993,,,,,,,,,,,,,,,,
ALA 101,20%,88%,15%,5%,48%,23%,12%,4%,4%,1%,1%,<1%,<1%,1%,<1%,3%
ALA 102,41%,71%,7%,,,,,,,,,,,,,
ALA 104,29%,60%,16%,<1%,79%,8%,6%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 105,52%,89%,16%,,,,,,,,,,,,,
ALA 106,75%,87%,8%,38%,51%,5%,3%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 107,56%,79%,10%,1%,80%,10%,5%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 115,86%,95%,10%,,,,,,,,,,,,,
ALA 122,80%,96%,5%,<1%,75%,16%,5%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 125,87%,87%,10%,,,,,,,,,,,,,
ALA 171,55%,78%,14%,,,,,,,,,,,,,
ALA 175,,,,,,,,,,,,,,,,
ALA 206,,,,,,,,,,,,,,,,
ALA 210,68%,63%,61%,45%,36%,6%,4%,3%,3%,1%,1%,<1%,<1%,<1%,<1%,<1%
ALA 220,80%,81%,3%,<1%,80%,12%,4%,2%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 223,87%,82%,12%,29%,52%,14%,2%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 225,64%,66%,13%,,,,,,,,,,,,,
ALA 228,96%,80%,12%,4%,70%,12%,3%,5%,2%,<1%,2%,2%,<1%,<1%,<1%,<1%
ALA 230,,,,,,,,,,,,,,,,
ALA 240,,,,35%,58%,6%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 250,82%,98%,22%,16%,81%,1%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 256,67%,62%,,4%,80%,10%,5%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 264,,,,<1%,55%,28%,8%,5%,1%,<1%,2%,<1%,<1%,<1%,<1%,<1%
ALA 270,87%,92%,10%,20%,61%,9%,3%,3%,3%,<1%,<1%,<1%,<1%,<1%,<1%,1%
ALA 290,,,,20%,48%,20%,4%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 292,,,,,,,,,,,,,,,,
ALA 315,,,,25%,38%,<1%,8%,12%,4%,4%,4%,4%,<1%,<1%,<1%,<1%
ALA 320,93%,93%,25%,3%,88%,5%,4%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 321,99%,90%,85%,<1%,86%,8%,5%,1%,<1%,<1%,<1%,1%,<1%,<1%,<1%,<1%
ALA 322,100%,100%,100%,21%,68%,5%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 325,,,,,,,,,,,,,,,,
ALA 350,80%,100%,10%,19%,45%,10%,5%,10%,6%,1%,<1%,1%,<1%,<1%,<1%,1%
ALA 370,,,,6%,43%,34%,15%,<1%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%
ALA 421,46%,83%,15%,,,,,,,,,,,,,
ALA 470,100%,100%,,45%,48%,<1%,<1%,3%,<1%,<1%,<1%,<1%,<1%,3%,<1%,<1%
ALA 471,,,,5%,95%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ALA 472,,,,,,,,,,,,,,,,
APPPHYS 514,,,,,,,,,,,,,,,,
APPPHYS 530,92%,96%,51%,20%,24%,18%,11%,17%,3%,3%,3%,<1%,<1%,1%,<1%,<1%
APPPHYS 537,92%,97%,34%,6%,16%,32%,24%,17%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
APPPHYS 540,84%,77%,38%,10%,31%,27%,16%,12%,2%,2%,<1%,<1%,<1%,<1%,<1%,<1%
APPPHYS 550,92%,100%,31%,11%,32%,27%,8%,15%,5%,<1%,2%,<1%,<1%,<1%,<1%,<1%
APPPHYS 576,72%,62%,34%,20%,54%,19%,4%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
APPPHYS 601,94%,100%,3%,14%,86%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARABAM 215,84%,98%,7%,9%,78%,7%,3%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARABAM 301,100%,75%,,,,,,,,,,,,,,
ARABAM 311,90%,100%,16%,4%,62%,19%,8%,2%,1%,1%,2%,<1%,<1%,<1%,<1%,<1%
ARABAM 405,92%,97%,17%,29%,56%,9%,<1%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%,3%
ARABIC 101,95%,98%,82%,17%,30%,18%,10%,10%,4%,3%,4%,2%,<1%,1%,<1%,<1%
ARABIC 201,83%,90%,80%,16%,32%,25%,10%,9%,6%,2%,<1%,<1%,<1%,<1%,<1%,<1%
ARABIC 401,87%,89%,72%,10%,39%,19%,8%,8%,9%,3%,2%,<1%,1%,<1%,<1%,1%
ARABIC 501,100%,93%,33%,27%,37%,15%,7%,2%,10%,<1%,<1%,<1%,<1%,<1%,<1%,2%
ARABIC 507,92%,100%,46%,<1%,<1%,50%,50%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ARABIC 607,92%,100%,46%,,,,,,,,,,,,,
ARABIC 612,100%,100%,50%,,,,,,,,,,,,,
ARMENIAN 101,,,,,,,,,,,,,,,,
ARMENIAN 201,100%,100%,60%,,,,,,,,,,,,,
ARMENIAN 401,,,,,,,,,,,,,,,,
ASIANLAN 100,82%,96%,31%,9%,50%,21%,10%,4%,2%,1%,<1%,2%,1%,<1%,<1%,<1%
ASIANLAN 101,89%,95%,60%,6%,25%,24%,14%,10%,9%,5%,2%,1%,<1%,1%,1%,1%
ASIANLAN 104,84%,100%,39%,7%,52%,27%,10%,3%,1%,<1%,1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 111,98%,100%,5%,25%,54%,16%,2%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 115,91%,100%,18%,19%,49%,14%,11%,4%,1%,1%,1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 121,92%,100%,31%,,,,,,,,,,,,,
ASIANLAN 123,100%,94%,24%,37%,36%,15%,9%,2%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,2%
ASIANLAN 125,96%,99%,38%,24%,40%,15%,8%,6%,2%,1%,2%,1%,1%,<1%,<1%,<1%
ASIANLAN 129,91%,91%,30%,27%,27%,7%,33%,<1%,<1%,<1%,<1%,<1%,7%,<1%,<1%,<1%
ASIANLAN 135,94%,98%,19%,30%,38%,16%,5%,4%,3%,<1%,2%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 138,100%,100%,16%,10%,56%,17%,15%,<1%,<1%,2%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 145,100%,100%,24%,11%,61%,11%,6%,<1%,6%,<1%,<1%,<1%,<1%,<1%,<1%,6%
ASIANLAN 155,,,,,,,,,,,,,,,,
ASIANLAN 161,82%,100%,6%,12%,58%,17%,8%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,4%
ASIANLAN 171,79%,100%,29%,20%,45%,23%,9%,<1%,1%,1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 175,96%,100%,35%,20%,51%,16%,12%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 185,,,,26%,63%,5%,5%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 201,79%,93%,46%,12%,35%,23%,12%,8%,4%,2%,1%,1%,<1%,<1%,<1%,<1%
ASIANLAN 204,81%,99%,31%,3%,59%,23%,11%,3%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 211,100%,100%,,23%,49%,14%,6%,6%,<1%,3%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 215,79%,95%,34%,14%,42%,19%,8%,8%,5%,<1%,1%,2%,<1%,<1%,<1%,<1%
ASIANLAN 221,100%,100%,,,,,,,,,,,,,,
ASIANLAN 225,94%,98%,50%,6%,29%,21%,13%,13%,7%,2%,4%,1%,<1%,1%,<1%,2%
ASIANLAN 235,88%,92%,31%,30%,32%,19%,9%,5%,3%,2%,<1%,1%,<1%,<1%,<1%,<1%
ASIANLAN 251,,,,,,,,,,,,,,,,
ASIANLAN 255,,,,,,,,,,,,,,,,
ASIANLAN 261,100%,100%,10%,,,,,,,,,,,,,
ASIANLAN 271,,,,24%,51%,18%,7%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%,<1%
ASIANLAN 275,,,,33%,26%,26%,9%,<1%,2%,<1%,<1%,<1%,2%,<1%,<1%,2%
