URP 529,99%,95%,15%,-1%,57%,19%,19%,3%,-1%,-1%,1%,-1%,-1%,-1%,-1%,-1%,URP,529
URP 535,-2%,-2%,-2%,12%,76%,12%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,URP,535
URP 544,84%,96%,15%,23%,40%,20%,5%,6%,3%,1%,1%,-1%,-1%,-1%,-1%,-1%,URP,544
URP 551,88%,64%,27%,2%,35%,37%,25%,2%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,URP,551
URP 552,100%,100%,22%,52%,36%,4%,8%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,URP,552
URP 560,-2%,-2%,-2%,-1%,27%,14%,41%,14%,4%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,URP,560
URP 571,93%,100%,-2%,-1%,53%,18%,18%,10%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,URP,571
URP 572,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,URP,572
URP 581,100%,95%,37%,4%,56%,36%,4%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,URP,581
URP 587,80%,100%,19%,39%,32%,16%,7%,4%,2%,1%,-1%,-1%,-1%,-1%,-1%,-1%,URP,587
URP 592,95%,76%,31%,13%,19%,20%,19%,17%,10%,2%,-1%,-1%,-1%,-1%,-1%,-1%,URP,592
URP 595,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,URP,595
URP 600,97%,100%,3%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,URP,600
URP 993,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,URP,993
HYGDCE 481,-2%,-2%,-2%,-1%,9%,9%,20%,20%,16%,11%,4%,7%,2%,2%,-1%,-1%,HYGDCE,481
HYGDCE 482,-2%,-2%,-2%,-1%,33%,14%,31%,21%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,HYGDCE,482
HYGDCE 486,-2%,-2%,-2%,-1%,15%,15%,33%,20%,8%,8%,-1%,-1%,-1%,-1%,-1%,-1%,HYGDCE,486
HYGDCE 488,-2%,-2%,-2%,-1%,51%,20%,13%,10%,5%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,HYGDCE,488
DENTHYG 209,58%,79%,11%,11%,11%,5%,11%,17%,13%,13%,12%,6%,-1%,-1%,-1%,1%,DENTHYG,209
DENTHYG 211,95%,87%,23%,3%,6%,22%,42%,20%,6%,1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,211
DENTHYG 224,89%,100%,8%,3%,16%,19%,22%,19%,10%,5%,4%,1%,-1%,-1%,-1%,-1%,DENTHYG,224
DENTHYG 252,32%,61%,7%,12%,12%,19%,22%,17%,15%,3%,-1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,252
DENTHYG 291,27%,69%,59%,6%,5%,15%,13%,17%,13%,11%,10%,9%,-1%,-1%,-1%,1%,DENTHYG,291
DENTHYG 310,-2%,-2%,-2%,19%,11%,9%,24%,15%,8%,9%,4%,1%,-1%,-1%,-1%,1%,DENTHYG,310
DENTHYG 312,-2%,-2%,-2%,-1%,6%,27%,46%,15%,4%,1%,1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,312
DENTHYG 344,-2%,-2%,-2%,-1%,25%,41%,18%,12%,3%,1%,1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,344
DENTHYG 382,-2%,-2%,-2%,-1%,25%,27%,24%,12%,9%,3%,-1%,1%,-1%,-1%,-1%,-1%,DENTHYG,382
DENTHYG 401,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,401
DENTHYG 414,85%,78%,26%,1%,10%,32%,36%,16%,5%,1%,-1%,1%,-1%,-1%,-1%,-1%,DENTHYG,414
DENTHYG 416,-2%,-2%,-2%,-1%,82%,6%,8%,1%,1%,-1%,-1%,1%,-1%,-1%,-1%,1%,DENTHYG,416
DENTHYG 422,-2%,-2%,-2%,-1%,9%,10%,27%,31%,12%,8%,4%,1%,-1%,-1%,-1%,-1%,DENTHYG,422
DENTHYG 425,-2%,-2%,-2%,4%,20%,13%,22%,21%,4%,9%,7%,1%,-1%,-1%,-1%,-1%,DENTHYG,425
DENTHYG 429,69%,95%,2%,-1%,19%,18%,25%,17%,9%,6%,4%,3%,-1%,-1%,-1%,1%,DENTHYG,429
DENTHYG 434,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,434
DENTHYG 444,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,444
DENTHYG 445,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,445
DENTHYG 446,-2%,-2%,-2%,1%,47%,29%,13%,9%,2%,-1%,1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,446
DENTHYG 450,-2%,-2%,-2%,1%,33%,24%,16%,12%,6%,2%,5%,1%,-1%,-1%,-1%,-1%,DENTHYG,450
DENTHYG 466,-2%,-2%,-2%,17%,79%,4%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,466
DENTHYG 475,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,475
DENTHYG 480,-2%,-2%,-2%,5%,81%,5%,3%,3%,3%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,480
DENTHYG 503,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,503
BIOMATLS 577,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,BIOMATLS,577
DENTED 603,-2%,-2%,-2%,12%,27%,27%,19%,12%,3%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTED,603
DENTED 606,-2%,-2%,-2%,23%,30%,27%,13%,3%,3%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTED,606
DENTED 610,-2%,-2%,-2%,19%,37%,19%,14%,10%,1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTED,610
DENTED 613,-2%,-2%,-2%,18%,44%,27%,8%,2%,1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTED,613
DENTED 614,-2%,-2%,-2%,51%,40%,-1%,6%,3%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTED,614
DENTED 630,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTED,630
DENTED 631,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTED,631
DENTHYG 209,58%,79%,11%,11%,11%,5%,11%,17%,13%,13%,12%,6%,-1%,-1%,-1%,1%,DENTHYG,209
DENTHYG 211,95%,87%,23%,3%,6%,22%,42%,20%,6%,1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,211
DENTHYG 224,89%,100%,8%,3%,16%,19%,22%,19%,10%,5%,4%,1%,-1%,-1%,-1%,-1%,DENTHYG,224
DENTHYG 252,32%,61%,7%,12%,12%,19%,22%,17%,15%,3%,-1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,252
DENTHYG 291,27%,69%,59%,6%,5%,15%,13%,17%,13%,11%,10%,9%,-1%,-1%,-1%,1%,DENTHYG,291
DENTHYG 310,-2%,-2%,-2%,19%,11%,9%,24%,15%,8%,9%,4%,1%,-1%,-1%,-1%,1%,DENTHYG,310
DENTHYG 312,-2%,-2%,-2%,-1%,6%,27%,46%,15%,4%,1%,1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,312
DENTHYG 344,-2%,-2%,-2%,-1%,25%,41%,18%,12%,3%,1%,1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,344
DENTHYG 382,-2%,-2%,-2%,-1%,25%,27%,24%,12%,9%,3%,-1%,1%,-1%,-1%,-1%,-1%,DENTHYG,382
DENTHYG 401,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,401
DENTHYG 414,85%,78%,26%,1%,10%,32%,36%,16%,5%,1%,-1%,1%,-1%,-1%,-1%,-1%,DENTHYG,414
DENTHYG 416,-2%,-2%,-2%,-1%,82%,6%,8%,1%,1%,-1%,-1%,1%,-1%,-1%,-1%,1%,DENTHYG,416
DENTHYG 422,-2%,-2%,-2%,-1%,9%,10%,27%,31%,12%,8%,4%,1%,-1%,-1%,-1%,-1%,DENTHYG,422
DENTHYG 425,-2%,-2%,-2%,4%,20%,13%,22%,21%,4%,9%,7%,1%,-1%,-1%,-1%,-1%,DENTHYG,425
DENTHYG 429,69%,95%,2%,-1%,19%,18%,25%,17%,9%,6%,4%,3%,-1%,-1%,-1%,1%,DENTHYG,429
DENTHYG 434,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,434
DENTHYG 444,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,444
DENTHYG 445,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,445
DENTHYG 446,-2%,-2%,-2%,1%,47%,29%,13%,9%,2%,-1%,1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,446
DENTHYG 450,-2%,-2%,-2%,1%,33%,24%,16%,12%,6%,2%,5%,1%,-1%,-1%,-1%,-1%,DENTHYG,450
DENTHYG 466,-2%,-2%,-2%,17%,79%,4%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,466
DENTHYG 475,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,475
DENTHYG 480,-2%,-2%,-2%,5%,81%,5%,3%,3%,3%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENTHYG,480
DENTHYG 503,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENTHYG,503
DHYGRACK 682,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DHYGRACK,682
DHYGRACK 684,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DHYGRACK,684
DHYGRACK 685,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DHYGRACK,685
DHYGRACK 687,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DHYGRACK,687
DHYGRACK 689,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DHYGRACK,689
DHYGRACK 693,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DHYGRACK,693
DHYGRACK 695,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DHYGRACK,695
DENT 502,-2%,-2%,-2%,-1%,94%,-1%,-1%,6%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,502
DENT 507,-2%,-2%,-2%,6%,14%,24%,24%,14%,11%,4%,2%,1%,-1%,-1%,-1%,-1%,DENT,507
DENT 508,-2%,-2%,-2%,5%,14%,14%,13%,21%,17%,8%,7%,2%,-1%,-1%,-1%,-1%,DENT,508
DENT 511,-2%,-2%,-2%,10%,25%,22%,18%,13%,6%,4%,1%,-1%,-1%,-1%,-1%,-1%,DENT,511
DENT 515,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,515
DENT 518,-2%,-2%,-2%,45%,28%,18%,6%,2%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,518
DENT 519,-2%,-2%,-2%,3%,21%,38%,18%,8%,6%,3%,2%,1%,-1%,-1%,-1%,1%,DENT,519
DENT 520,-2%,-2%,-2%,2%,13%,23%,18%,13%,10%,8%,5%,4%,-1%,-1%,-1%,5%,DENT,520
DENT 521A,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,521A
DENT 521B,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,521B
DENT 522,-2%,-2%,-2%,-1%,39%,40%,14%,5%,2%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,522
DENT 524,-2%,-2%,-2%,14%,84%,-1%,1%,1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,524
DENT 525,-2%,-2%,-2%,2%,11%,20%,17%,18%,16%,8%,5%,2%,-1%,-1%,-1%,-1%,DENT,525
DENT 529,-2%,-2%,-2%,-1%,94%,4%,2%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,529
DENT 532,-2%,-2%,-2%,18%,18%,31%,16%,11%,4%,1%,1%,-1%,-1%,-1%,-1%,-1%,DENT,532
DENT 533,-2%,-2%,-2%,-1%,2%,16%,21%,19%,22%,11%,6%,4%,-1%,-1%,-1%,-1%,DENT,533
DENT 539,-2%,-2%,-2%,8%,13%,16%,15%,13%,16%,9%,6%,3%,-1%,-1%,-1%,1%,DENT,539
DENT 551,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,551
DENT 603,-2%,-2%,-2%,-1%,62%,19%,11%,6%,1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,603
DENT 604,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,604
DENT 608,-2%,-2%,-2%,6%,17%,18%,17%,16%,13%,7%,2%,4%,-1%,-1%,-1%,-1%,DENT,608
DENT 609B,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,609B
DENT 612,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,612
DENT 614,-2%,-2%,-2%,1%,10%,21%,18%,20%,18%,7%,3%,2%,-1%,-1%,-1%,-1%,DENT,614
DENT 616,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,616
DENT 617,-2%,-2%,-2%,40%,15%,16%,13%,8%,4%,2%,1%,-1%,-1%,-1%,-1%,-1%,DENT,617
DENT 620,-2%,-2%,-2%,-1%,40%,40%,14%,4%,1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,620
DENT 620A,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,620A
DENT 620B,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,620B
DENT 620C,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,620C
DENT 621,-2%,-2%,-2%,37%,28%,16%,5%,4%,6%,3%,1%,-1%,-1%,-1%,-1%,-1%,DENT,621
DENT 622,-2%,-2%,-2%,7%,23%,39%,12%,9%,7%,1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,622
DENT 623A,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,623A
DENT 625,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,625
DENT 625A,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,625A
DENT 625B,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,625B
DENT 625C,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,625C
DENT 625I,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,625I
DENT 631,-2%,-2%,-2%,57%,24%,10%,4%,2%,1%,1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,631
DENT 632,-2%,-2%,-2%,13%,29%,43%,7%,6%,2%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,632
DENT 633,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,633
DENT 636,-2%,-2%,-2%,-1%,36%,19%,16%,17%,6%,3%,2%,-1%,-1%,-1%,-1%,-1%,DENT,636
DENT 640,-2%,-2%,-2%,40%,18%,17%,11%,6%,4%,1%,2%,1%,-1%,-1%,-1%,-1%,DENT,640
DENT 641,-2%,-2%,-2%,21%,35%,25%,11%,5%,3%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,641
DENT 642,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,642
DENT 643,-2%,-2%,-2%,14%,49%,27%,6%,2%,1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,DENT,643
DENT 644,-2%,-2%,-2%,38%,14%,16%,11%,10%,6%,3%,1%,1%,-1%,-1%,-1%,-1%,DENT,644
DENT 660,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,DENT,660
